layer,batch_size,optimal_k
0,8,640
1,8,768
2,8,768
3,8,384
4,8,384
5,8,384
6,8,512
7,8,512
8,8,512
9,8,512
10,8,640
11,8,640
12,8,768
13,8,1152
14,8,1280
15,8,1792
16,8,2176
17,8,2304
18,8,2688
19,8,2688
20,8,3200
21,8,4224
22,8,4992
23,8,5376
24,8,6144
25,8,6784
26,8,7680
27,8,7936
28,8,8320
29,8,8576
30,8,9216
31,8,9472
32,8,10112
33,8,10496
34,8,10496
35,8,10240
36,8,10368
37,8,10368
38,8,10496
39,8,10752
40,8,11136
41,8,11520
42,8,12160
43,8,12800
44,8,13568
45,8,14080
46,8,14080
47,8,11136
