layer,batch_size,optimal_k
0,64,1536
1,64,1792
2,64,1408
3,64,1280
4,64,1152
5,64,1152
6,64,1280
7,64,1152
8,64,1280
9,64,1408
10,64,1920
11,64,2432
12,64,3712
13,64,4736
14,64,5760
15,64,7296
16,64,8576
17,64,8704
18,64,9856
19,64,10368
20,64,11776
21,64,13440
22,64,15360
23,64,16768
24,64,18432
25,64,19840
26,64,21376
27,64,22016
28,64,22400
29,64,22784
30,64,23552
31,64,23936
32,64,24704
33,64,25344
34,64,25472
35,64,25344
36,64,25728
37,64,25728
38,64,25984
39,64,26368
40,64,26752
41,64,26880
42,64,27264
43,64,27264
44,64,27520
45,64,27520
46,64,27392
47,64,25728
