layer,batch_size,optimal_k
0,16,768
1,16,1024
2,16,896
3,16,512
4,16,512
5,16,512
6,16,512
7,16,640
8,16,640
9,16,640
10,16,768
11,16,896
12,16,1408
13,16,1920
14,16,2176
15,16,2944
16,16,3456
17,16,3456
18,16,4352
19,16,4480
20,16,5504
21,16,6272
22,16,7040
23,16,7808
24,16,8960
25,16,9984
26,16,11264
27,16,11648
28,16,12160
29,16,12416
30,16,13312
31,16,13696
32,16,14464
33,16,15104
34,16,15232
35,16,14976
36,16,15104
37,16,15232
38,16,15488
39,16,15744
40,16,16256
41,16,16896
42,16,17664
43,16,18432
44,16,19328
45,16,19840
46,16,19712
47,16,15872
