layer,batch_size,optimal_k
0,2,384
1,2,384
2,2,384
3,2,384
4,2,384
5,2,384
6,2,384
7,2,384
8,2,384
9,2,384
10,2,384
11,2,384
12,2,512
13,2,512
14,2,512
15,2,768
16,2,896
17,2,896
18,2,1024
19,2,1024
20,2,1280
21,2,1408
22,2,1920
23,2,2432
24,2,3328
25,2,3584
26,2,3840
27,2,3968
28,2,4096
29,2,4224
30,2,4480
31,2,4608
32,2,4864
33,2,4992
34,2,4992
35,2,4864
36,2,4864
37,2,4864
38,2,4864
39,2,4864
40,2,4992
41,2,5248
42,2,5504
43,2,5760
44,2,6016
45,2,6400
46,2,6400
47,2,5376
