layer,batch_size,optimal_k
0,4,640
1,4,640
2,4,384
3,4,384
4,4,384
5,4,384
6,4,384
7,4,384
8,4,384
9,4,384
10,4,512
11,4,512
12,4,640
13,4,640
14,4,896
15,4,1024
16,4,1408
17,4,1408
18,4,1664
19,4,1536
20,4,1920
21,4,2304
22,4,3200
23,4,3968
24,4,4352
25,4,4736
26,4,5248
27,4,5504
28,4,5760
29,4,5888
30,4,6400
31,4,6528
32,4,6912
33,4,7168
34,4,7168
35,4,6912
36,4,6912
37,4,6912
38,4,7040
39,4,7168
40,4,7296
41,4,7680
42,4,8064
43,4,8448
44,4,9088
45,4,9472
46,4,9472
47,4,7552
