layer,batch_size,optimal_k
0,48,1280
1,48,1536
2,48,1280
3,48,1152
4,48,1024
5,48,1024
6,48,896
7,48,1024
8,48,1152
9,48,1152
10,48,1664
11,48,2048
12,48,2944
13,48,3840
14,48,4736
15,48,6144
16,48,7168
17,48,7424
18,48,8576
19,48,8832
20,48,9984
21,48,11520
22,48,13184
23,48,14464
24,48,16128
25,48,17664
26,48,19200
27,48,19840
28,48,20224
29,48,20608
30,48,21504
31,48,21888
32,48,22784
33,48,23424
34,48,23680
35,48,23424
36,48,23808
37,48,23808
38,48,24192
39,48,24448
40,48,24960
41,48,25472
42,48,26240
43,48,26752
44,48,27008
45,48,27264
46,48,27008
47,48,23936
