layer,batch_size,optimal_k
0,32,1152
1,32,1280
2,32,1152
3,32,896
4,32,640
5,32,640
6,32,768
7,32,768
8,32,896
9,32,896
10,32,1152
11,32,1664
12,32,2304
13,32,2816
14,32,3584
15,32,4736
16,32,5632
17,32,5760
18,32,6912
19,32,7168
20,32,8064
21,32,9216
22,32,10496
23,32,11648
24,32,13056
25,32,14464
26,32,16000
27,32,16512
28,32,17024
29,32,17536
30,32,18432
31,32,18816
32,32,19712
33,32,20480
34,32,20608
35,32,20352
36,32,20736
37,32,20736
38,32,21120
39,32,21504
40,32,22016
41,32,22656
42,32,23424
43,32,24064
44,32,24832
45,32,25344
46,32,25216
47,32,21120
