layer,batch_size,optimal_k
0,128,2304
1,128,2560
2,128,2048
3,128,1664
4,128,1536
5,128,1664
6,128,1792
7,128,2048
8,128,2176
9,128,2176
10,128,2816
11,128,3840
12,128,5760
13,128,7168
14,128,8576
15,128,10752
16,128,12160
17,128,12416
18,128,13824
19,128,14592
20,128,16640
21,128,18816
22,128,20992
23,128,22528
24,128,23808
25,128,24960
26,128,26112
27,128,26624
28,128,26880
29,128,27008
30,128,27264
31,128,27264
32,128,27392
33,128,27520
34,128,27648
35,128,27520
36,128,27520
37,128,27520
38,128,27776
39,128,27648
40,128,27776
41,128,27904
42,128,28032
43,128,28160
44,128,28160
45,128,28160
46,128,28032
47,128,27008
