layer,batch_size,optimal_k
0,256,3200
1,256,3584
2,256,2944
3,256,2560
4,256,2432
5,256,2304
6,256,2688
7,256,2944
8,256,3328
9,256,3712
10,256,4352
11,256,6016
12,256,8704
13,256,10624
14,256,12288
15,256,14848
16,256,16384
17,256,16640
18,256,18432
19,256,19456
20,256,21888
21,256,24192
22,256,25984
23,256,26880
24,256,27136
25,256,27392
26,256,27520
27,256,27904
28,256,27776
29,256,27904
30,256,28032
31,256,27904
32,256,28160
33,256,28032
34,256,28032
35,256,28032
36,256,28160
37,256,28032
38,256,28160
39,256,28288
40,256,28288
41,256,28416
42,256,28544
43,256,28544
44,256,28544
45,256,28544
46,256,28544
47,256,27776
