layer,batch_size,optimal_k
0,64,1664
1,64,1664
2,64,1408
3,64,1280
4,64,1152
5,64,1024
6,64,1024
7,64,768
8,64,768
9,64,768
10,64,896
11,64,896
12,64,1024
13,64,1024
14,64,1536
15,64,1920
16,64,3200
17,64,3200
18,64,4608
19,64,6144
20,64,7680
21,64,7296
22,64,7808
23,64,8064
24,64,9088
25,64,11008
26,64,12544
27,64,14464
28,64,16128
29,64,17536
30,64,18816
31,64,20352
32,64,21760
33,64,23680
34,64,24192
35,64,25216
36,64,26496
37,64,27264
38,64,27904
39,64,28928
40,64,28800
41,64,29056
42,64,29440
43,64,30336
44,64,30464
45,64,30976
46,64,30848
47,64,31104
48,64,30976
49,64,30976
50,64,31104
51,64,31360
52,64,31616
53,64,31744
54,64,31872
55,64,32384
56,64,32896
57,64,33280
58,64,34048
59,64,34304
60,64,34688
61,64,34944
62,64,34688
63,64,31616
