layer,batch_size,optimal_k
0,16,896
1,16,768
2,16,640
3,16,640
4,16,512
5,16,512
6,16,512
7,16,512
8,16,384
9,16,512
10,16,512
11,16,512
12,16,512
13,16,512
14,16,640
15,16,768
16,16,1280
17,16,1408
18,16,1920
19,16,2560
20,16,3200
21,16,2816
22,16,3200
23,16,3072
24,16,3584
25,16,4608
26,16,5760
27,16,6528
28,16,7168
29,16,7680
30,16,8320
31,16,9216
32,16,9984
33,16,11264
34,16,11520
35,16,12288
36,16,13312
37,16,14080
38,16,14592
39,16,15360
40,16,15232
41,16,15616
42,16,15744
43,16,16512
44,16,16768
45,16,17152
46,16,17024
47,16,17152
48,16,17024
49,16,17024
50,16,17024
51,16,17152
52,16,17536
53,16,17664
54,16,17920
55,16,18560
56,16,19072
57,16,19584
58,16,20608
59,16,21120
60,16,21760
61,16,22144
62,16,21888
63,16,18560
