layer,batch_size,optimal_k
0,2,384
1,2,512
2,2,384
3,2,384
4,2,384
5,2,384
6,2,256
7,2,384
8,2,256
9,2,384
10,2,256
11,2,256
12,2,384
13,2,384
14,2,384
15,2,384
16,2,384
17,2,384
18,2,512
19,2,512
20,2,896
21,2,896
22,2,896
23,2,640
24,2,896
25,2,1024
26,2,1024
27,2,1408
28,2,1664
29,2,2048
30,2,2560
31,2,3072
32,2,3456
33,2,3840
34,2,3840
35,2,3968
36,2,4224
37,2,4480
38,2,4608
39,2,4864
40,2,4736
41,2,4864
42,2,4864
43,2,4992
44,2,5120
45,2,5248
46,2,5120
47,2,5120
48,2,5120
49,2,4992
50,2,4992
51,2,4992
52,2,5120
53,2,5120
54,2,5120
55,2,5376
56,2,5504
57,2,5632
58,2,5888
59,2,6144
60,2,6400
61,2,6656
62,2,6784
63,2,5888
