layer,batch_size,optimal_k
0,32,1152
1,32,1024
2,32,1152
3,32,1024
4,32,640
5,32,640
6,32,512
7,32,512
8,32,512
9,32,640
10,32,640
11,32,640
12,32,640
13,32,768
14,32,896
15,32,1408
16,32,2048
17,32,2048
18,32,2944
19,32,3840
20,32,5120
21,32,4736
22,32,5120
23,32,4992
24,32,5888
25,32,7552
26,32,8448
27,32,9600
28,32,10752
29,32,11648
30,32,12672
31,32,13952
32,32,15104
33,32,16768
34,32,17152
35,32,18176
36,32,19456
37,32,20352
38,32,20992
39,32,22016
40,32,21888
41,32,22144
42,32,22528
43,32,23424
44,32,23680
45,32,24192
46,32,24064
47,32,24320
48,32,24192
49,32,24192
50,32,24192
51,32,24448
52,32,24704
53,32,24960
54,32,25216
55,32,25856
56,32,26496
57,32,27008
58,32,28032
59,32,28544
60,32,29056
61,32,29440
62,32,29184
63,32,25344
