layer,batch_size,optimal_k
0,4,512
1,4,512
2,4,512
3,4,384
4,4,384
5,4,384
6,4,384
7,4,384
8,4,384
9,4,384
10,4,384
11,4,384
12,4,384
13,4,384
14,4,384
15,4,384
16,4,512
17,4,512
18,4,640
19,4,1024
20,4,1152
21,4,1152
22,4,1152
23,4,1152
24,4,1280
25,4,1664
26,4,1920
27,4,2432
28,4,3072
29,4,3456
30,4,4096
31,4,4352
32,4,4608
33,4,5120
34,4,5248
35,4,5504
36,4,6016
37,4,6272
38,4,6528
39,4,6912
40,4,6784
41,4,6912
42,4,7040
43,4,7296
44,4,7424
45,4,7552
46,4,7424
47,4,7552
48,4,7424
49,4,7296
50,4,7296
51,4,7296
52,4,7424
53,4,7552
54,4,7680
55,4,7936
56,4,8192
57,4,8448
58,4,8960
59,4,9344
60,4,9728
61,4,9984
62,4,9984
63,4,8576
