layer,batch_size,optimal_k
0,128,2176
1,128,2432
2,128,2304
3,128,1920
4,128,1536
5,128,1408
6,128,1280
7,128,1280
8,128,1024
9,128,1408
10,128,1280
11,128,1280
12,128,1408
13,128,1664
14,128,2304
15,128,3072
16,128,4992
17,128,5120
18,128,7168
19,128,9344
20,128,11136
21,128,10624
22,128,11264
23,128,11776
24,128,12928
25,128,15744
26,128,18048
27,128,20864
28,128,23040
29,128,24576
30,128,25856
31,128,27520
32,128,28800
33,128,30464
34,128,31104
35,128,32000
36,128,32640
37,128,33280
38,128,33664
39,128,34304
40,128,34304
41,128,34560
42,128,34688
43,128,35200
44,128,35328
45,128,35456
46,128,35328
47,128,35200
48,128,35200
49,128,35328
50,128,35328
51,128,35328
52,128,35328
53,128,35584
54,128,35456
55,128,35456
56,128,35712
57,128,35712
58,128,35840
59,128,35712
60,128,35968
61,128,35840
62,128,35840
63,128,34688
