layer,batch_size,optimal_k
0,256,3072
1,256,3584
2,256,3328
3,256,2688
4,256,2304
5,256,2304
6,256,1792
7,256,1792
8,256,1792
9,256,2048
10,256,2048
11,256,1920
12,256,2432
13,256,2816
14,256,3456
15,256,4736
16,256,7168
17,256,7808
18,256,10624
19,256,13056
20,256,15232
21,256,14720
22,256,15488
23,256,16128
24,256,17920
25,256,21376
26,256,24576
27,256,27648
28,256,29952
29,256,31232
30,256,32384
31,256,33664
32,256,34432
33,256,34944
34,256,35456
35,256,35584
36,256,35584
37,256,35712
38,256,35712
39,256,35968
40,256,35968
41,256,35840
42,256,35968
43,256,35968
44,256,35968
45,256,36096
46,256,35968
47,256,36096
48,256,36096
49,256,36096
50,256,36096
51,256,36224
52,256,36224
53,256,36096
54,256,36096
55,256,36224
56,256,36224
57,256,36352
58,256,36480
59,256,36480
60,256,36480
61,256,36480
62,256,36480
63,256,35712
