layer,batch_size,optimal_k
0,48,1280
1,48,1408
2,48,1280
3,48,1152
4,48,1024
5,48,1024
6,48,640
7,48,640
8,48,640
9,48,768
10,48,768
11,48,768
12,48,896
13,48,896
14,48,1152
15,48,1664
16,48,2560
17,48,2816
18,48,3968
19,48,5248
20,48,6528
21,48,6016
22,48,6528
23,48,6784
24,48,7552
25,48,9344
26,48,10624
27,48,12288
28,48,13696
29,48,14848
30,48,16000
31,48,17536
32,48,18816
33,48,20736
34,48,21248
35,48,22272
36,48,23552
37,48,24448
38,48,25088
39,48,26112
40,48,25984
41,48,26240
42,48,26624
43,48,27520
44,48,27776
45,48,28288
46,48,28160
47,48,28416
48,48,28288
49,48,28416
50,48,28416
51,48,28672
52,48,28928
53,48,29056
54,48,29312
55,48,29952
56,48,30464
57,48,30976
58,48,31872
59,48,32256
60,48,32640
61,48,33024
62,48,32640
63,48,29184
