layer,batch_size,optimal_k
0,1,384
1,1,256
2,1,256
3,1,256
4,1,256
5,1,256
6,1,256
7,1,256
8,1,256
9,1,256
10,1,256
11,1,256
12,1,256
13,1,256
14,1,256
15,1,256
16,1,256
17,1,256
18,1,256
19,1,384
20,1,512
21,1,512
22,1,512
23,1,512
24,1,512
25,1,512
26,1,640
27,1,896
28,1,1024
29,1,1152
30,1,1536
31,1,1792
32,1,2176
33,1,2560
34,1,2688
35,1,2944
36,1,3584
37,1,3712
38,1,4096
39,1,4608
40,1,4608
41,1,4736
42,1,4864
43,1,5248
44,1,5376
45,1,5760
46,1,5376
47,1,5504
48,1,5248
49,1,4992
50,1,4864
51,1,4864
52,1,5248
53,1,4864
54,1,4992
55,1,5248
56,1,5376
57,1,5632
58,1,6144
59,1,6528
60,1,7168
61,1,7680
62,1,8064
63,1,6912
